Gene,Non-unique Gene name,Annotation,15608_247,21053_8147,11822_158,14410_846,15608_513,21127_2104,14913_283,21127_2150,24820_2209,15682_121,14412_245,21127_264,15608_324,15608_539,15682_350,15682_241,15608_212,15682_157,14412_13,15682_27,21053_8178,15608_533,31588_4131,15608_567,17428_844,21127_288,15682_177,14410_881,21127_2177,24820_2267
rodA,rodA,Peptidoglycan glycosyltransferase RodA,NKIHGLOF_00626,CAIOAPPO_02093,EGGPCNEA_01604,BOGLFJDA_00235,JLENOMMB_01524,ALHNJLOP_00240,KGLLIHJM_00790,OJAJHHAH_01481,OCGAAEPO_01876,GLNDJCAF_01546,ODFLGDBH_00738,APOOJODC_01602,FONPKMKP_01027,OKOELMAF_01386,PEGMINDJ_01364,BCHKDIOD_00012,LPFDPCGO_01916,BPKFELMP_00665,OEDMFFKP_00211,BCNLJEOI_00272,GLONHLBP_00680,FPEIOILE_01408,PEHMELEN_00934,NFCFPMIG_00013,ELMHKFIJ_00979,GGJPJCAM_01796,JCMFBBHK_01568,FBLGIOPA_00617,IJNFIKKA_01064,NCOGIHLP_01870
group_127,,L-lactate transporter,NKIHGLOF_01611,CAIOAPPO_00532,EGGPCNEA_01527,BOGLFJDA_00529,JLENOMMB_00209,ALHNJLOP_00173,KGLLIHJM_00117,OJAJHHAH_01763,OCGAAEPO_01278,GLNDJCAF_00990,ODFLGDBH_00119,APOOJODC_02038,FONPKMKP_01400,OKOELMAF_02098,PEGMINDJ_01561,BCHKDIOD_02240,LPFDPCGO_02112,BPKFELMP_01648,OEDMFFKP_00732,BCNLJEOI_02175,GLONHLBP_00446,FPEIOILE_01678,PEHMELEN_00210,NFCFPMIG_00352,ELMHKFIJ_00191,GGJPJCAM_01549,JCMFBBHK_01581,FBLGIOPA_00375,IJNFIKKA_01540,NCOGIHLP_00664
sufS,sufS,Cysteine desulfurase SufS,NKIHGLOF_01161,CAIOAPPO_00933,EGGPCNEA_01022,BOGLFJDA_01028,JLENOMMB_01182,ALHNJLOP_00054,KGLLIHJM_02017,OJAJHHAH_01269,OCGAAEPO_01445,GLNDJCAF_00695,ODFLGDBH_01230,APOOJODC_01408,FONPKMKP_01916,OKOELMAF_01634,PEGMINDJ_00704,BCHKDIOD_02146,LPFDPCGO_01945,BPKFELMP_02288,OEDMFFKP_01917,BCNLJEOI_02001,GLONHLBP_00232,FPEIOILE_01473,PEHMELEN_01648,NFCFPMIG_00600,ELMHKFIJ_00916,GGJPJCAM_01479,JCMFBBHK_01942,FBLGIOPA_01112,IJNFIKKA_01001,NCOGIHLP_01133
arnB,arnB,UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase,NKIHGLOF_00962,CAIOAPPO_00410,EGGPCNEA_00915,BOGLFJDA_00960,JLENOMMB_00871,ALHNJLOP_01396,KGLLIHJM_01026,OJAJHHAH_00736,OCGAAEPO_00638,GLNDJCAF_01057,ODFLGDBH_01161,APOOJODC_01012,FONPKMKP_00656,OKOELMAF_00062,PEGMINDJ_00464,BCHKDIOD_01218,LPFDPCGO_00695,BPKFELMP_00082,OEDMFFKP_00915,BCNLJEOI_00758,GLONHLBP_00942,FPEIOILE_00938,PEHMELEN_00445,NFCFPMIG_01045,ELMHKFIJ_01777,GGJPJCAM_01096,JCMFBBHK_00501,FBLGIOPA_00921,IJNFIKKA_01891,NCOGIHLP_01348
bepA,bepA,Beta-barrel assembly-enhancing protease,NKIHGLOF_02102,CAIOAPPO_00003,EGGPCNEA_02103,BOGLFJDA_00609,JLENOMMB_00128,ALHNJLOP_00518,KGLLIHJM_00196,OJAJHHAH_00003,OCGAAEPO_01622,GLNDJCAF_00076,ODFLGDBH_00198,APOOJODC_00003,FONPKMKP_00893,OKOELMAF_00635,PEGMINDJ_00218,BCHKDIOD_00742,LPFDPCGO_01620,BPKFELMP_02114,OEDMFFKP_00580,BCNLJEOI_00570,GLONHLBP_00314,FPEIOILE_00629,PEHMELEN_00128,NFCFPMIG_00843,ELMHKFIJ_01294,GGJPJCAM_00003,JCMFBBHK_00224,FBLGIOPA_00244,IJNFIKKA_00806,NCOGIHLP_00425
ftsW,ftsW,putative peptidoglycan glycosyltransferase FtsW,NKIHGLOF_01688,CAIOAPPO_01860,EGGPCNEA_00371,BOGLFJDA_01592,JLENOMMB_01578,ALHNJLOP_00832,KGLLIHJM_01920,OJAJHHAH_00967,OCGAAEPO_01840,GLNDJCAF_01935,ODFLGDBH_01984,APOOJODC_01174,FONPKMKP_01239,OKOELMAF_01907,PEGMINDJ_01683,BCHKDIOD_01996,LPFDPCGO_01500,BPKFELMP_00941,OEDMFFKP_01717,BCNLJEOI_01902,GLONHLBP_00070,FPEIOILE_01925,PEHMELEN_01712,NFCFPMIG_01947,ELMHKFIJ_00742,GGJPJCAM_02079,JCMFBBHK_01331,FBLGIOPA_01520,IJNFIKKA_00409,NCOGIHLP_01834
arcA,arcA,Arginine deiminase,NKIHGLOF_00146,CAIOAPPO_02001,EGGPCNEA_01399,BOGLFJDA_00777,JLENOMMB_01023,ALHNJLOP_01918,KGLLIHJM_00662,OJAJHHAH_01840,OCGAAEPO_00525,GLNDJCAF_01212,ODFLGDBH_01588,APOOJODC_00883,FONPKMKP_00281,OKOELMAF_00498,PEGMINDJ_00763,BCHKDIOD_00547,LPFDPCGO_00925,BPKFELMP_01302,OEDMFFKP_01191,BCNLJEOI_01521,GLONHLBP_01720,FPEIOILE_00797,PEHMELEN_01315,NFCFPMIG_01669,ELMHKFIJ_01676,GGJPJCAM_01340,JCMFBBHK_00792,FBLGIOPA_01710,IJNFIKKA_00557,NCOGIHLP_00200
clpX,clpX,ATP-dependent Clp protease ATP-binding subunit ClpX,NKIHGLOF_01626,CAIOAPPO_00547,EGGPCNEA_01542,BOGLFJDA_00544,JLENOMMB_00194,ALHNJLOP_00158,KGLLIHJM_00132,OJAJHHAH_01778,OCGAAEPO_02125,GLNDJCAF_00012,ODFLGDBH_00134,APOOJODC_02053,FONPKMKP_01415,OKOELMAF_02061,PEGMINDJ_01546,BCHKDIOD_01675,LPFDPCGO_01336,BPKFELMP_01633,OEDMFFKP_00717,BCNLJEOI_00506,GLONHLBP_00250,FPEIOILE_00565,PEHMELEN_00193,NFCFPMIG_00367,ELMHKFIJ_00206,GGJPJCAM_01564,JCMFBBHK_01596,FBLGIOPA_00360,IJNFIKKA_02148,NCOGIHLP_01976
fabF,fabF,3-oxoacyl-[acyl-carrier-protein] synthase 2,NKIHGLOF_02042,CAIOAPPO_02252,EGGPCNEA_00689,BOGLFJDA_02024,JLENOMMB_02054,ALHNJLOP_00006,KGLLIHJM_01944,OJAJHHAH_02219,OCGAAEPO_02088,GLNDJCAF_01996,ODFLGDBH_02008,APOOJODC_02134,FONPKMKP_02044,OKOELMAF_01459,PEGMINDJ_02148,BCHKDIOD_01526,LPFDPCGO_01851,BPKFELMP_02097,OEDMFFKP_02067,BCNLJEOI_01859,GLONHLBP_01792,FPEIOILE_01710,PEHMELEN_02038,NFCFPMIG_01683,ELMHKFIJ_01271,GGJPJCAM_02239,JCMFBBHK_00640,FBLGIOPA_02021,IJNFIKKA_00233,NCOGIHLP_01582
hflX,hflX,GTPase HflX,NKIHGLOF_00303,CAIOAPPO_00716,EGGPCNEA_00471,BOGLFJDA_00110,JLENOMMB_00351,ALHNJLOP_00365,KGLLIHJM_00884,OJAJHHAH_01061,OCGAAEPO_00372,GLNDJCAF_00764,ODFLGDBH_00864,APOOJODC_00346,FONPKMKP_00055,OKOELMAF_01049,PEGMINDJ_01456,BCHKDIOD_00139,LPFDPCGO_01294,BPKFELMP_00867,OEDMFFKP_00085,BCNLJEOI_00400,GLONHLBP_00552,FPEIOILE_00457,PEHMELEN_01061,NFCFPMIG_00139,ELMHKFIJ_01047,GGJPJCAM_00813,JCMFBBHK_01794,FBLGIOPA_00490,IJNFIKKA_00011,NCOGIHLP_00548
dacA,dacA,D-alanyl-D-alanine carboxypeptidase DacA,NKIHGLOF_01158,CAIOAPPO_00930,EGGPCNEA_01019,BOGLFJDA_01031,JLENOMMB_01179,ALHNJLOP_00057,KGLLIHJM_02014,OJAJHHAH_01266,OCGAAEPO_01442,GLNDJCAF_00692,ODFLGDBH_01233,APOOJODC_01405,FONPKMKP_01919,OKOELMAF_01631,PEGMINDJ_00701,BCHKDIOD_02143,LPFDPCGO_01942,BPKFELMP_02285,OEDMFFKP_01914,BCNLJEOI_01998,GLONHLBP_00229,FPEIOILE_01470,PEHMELEN_01645,NFCFPMIG_00597,ELMHKFIJ_00913,GGJPJCAM_01476,JCMFBBHK_01939,FBLGIOPA_01109,IJNFIKKA_00998,NCOGIHLP_01130
pepS,pepS,Aminopeptidase PepS,NKIHGLOF_00850,CAIOAPPO_01215,EGGPCNEA_01760,BOGLFJDA_00317,JLENOMMB_00483,ALHNJLOP_01150,KGLLIHJM_00413,OJAJHHAH_00634,OCGAAEPO_01491,GLNDJCAF_00547,ODFLGDBH_00700,APOOJODC_00750,FONPKMKP_00546,OKOELMAF_00139,PEGMINDJ_00335,BCHKDIOD_00265,LPFDPCGO_00033,BPKFELMP_01538,OEDMFFKP_00247,BCNLJEOI_00057,GLONHLBP_01478,FPEIOILE_00262,PEHMELEN_00612,NFCFPMIG_00635,ELMHKFIJ_00443,GGJPJCAM_00456,JCMFBBHK_00398,FBLGIOPA_00654,IJNFIKKA_01291,NCOGIHLP_00735
group_123,,hypothetical protein,NKIHGLOF_00610,CAIOAPPO_00026,EGGPCNEA_00020,BOGLFJDA_00633,JLENOMMB_00104,ALHNJLOP_00542,KGLLIHJM_00220,OJAJHHAH_00026,OCGAAEPO_01273,GLNDJCAF_00100,ODFLGDBH_00221,APOOJODC_00026,FONPKMKP_00870,OKOELMAF_00658,PEGMINDJ_00195,BCHKDIOD_00766,LPFDPCGO_01596,BPKFELMP_00649,OEDMFFKP_00556,BCNLJEOI_00593,GLONHLBP_00338,FPEIOILE_00653,PEHMELEN_00104,NFCFPMIG_00866,ELMHKFIJ_01318,GGJPJCAM_00026,JCMFBBHK_00201,FBLGIOPA_00220,IJNFIKKA_00828,NCOGIHLP_00402
lysA,lysA,Diaminopimelate decarboxylase,NKIHGLOF_01426,CAIOAPPO_01634,EGGPCNEA_01285,BOGLFJDA_01544,JLENOMMB_01322,ALHNJLOP_01501,KGLLIHJM_01521,OJAJHHAH_01642,OCGAAEPO_01059,GLNDJCAF_01502,ODFLGDBH_01405,APOOJODC_01472,FONPKMKP_01154,OKOELMAF_01228,PEGMINDJ_01264,BCHKDIOD_01402,LPFDPCGO_00819,BPKFELMP_00262,OEDMFFKP_01548,BCNLJEOI_01347,GLONHLBP_01336,FPEIOILE_01216,PEHMELEN_01825,NFCFPMIG_01362,ELMHKFIJ_01855,GGJPJCAM_01666,JCMFBBHK_01140,FBLGIOPA_01405,IJNFIKKA_01690,NCOGIHLP_00056
ilvA,ilvA,L-threonine dehydratase biosynthetic IlvA,NKIHGLOF_00896,CAIOAPPO_01108,EGGPCNEA_00665,BOGLFJDA_02078,JLENOMMB_01764,ALHNJLOP_01888,KGLLIHJM_02103,OJAJHHAH_01406,OCGAAEPO_00928,GLNDJCAF_01780,ODFLGDBH_02158,APOOJODC_00545,FONPKMKP_00722,OKOELMAF_01661,PEGMINDJ_00895,BCHKDIOD_01877,LPFDPCGO_01982,BPKFELMP_00311,OEDMFFKP_02152,BCNLJEOI_01705,GLONHLBP_01819,FPEIOILE_01654,PEHMELEN_00562,NFCFPMIG_02027,ELMHKFIJ_01244,GGJPJCAM_01010,JCMFBBHK_00663,FBLGIOPA_02144,IJNFIKKA_00206,NCOGIHLP_01259
group_120,,hypothetical protein,NKIHGLOF_00216,CAIOAPPO_01930,EGGPCNEA_01697,BOGLFJDA_01174,JLENOMMB_01251,ALHNJLOP_02070,KGLLIHJM_01353,OJAJHHAH_02061,OCGAAEPO_00456,GLNDJCAF_01403,ODFLGDBH_01543,APOOJODC_00811,FONPKMKP_00352,OKOELMAF_00419,PEGMINDJ_00993,BCHKDIOD_00628,LPFDPCGO_01431,BPKFELMP_00186,OEDMFFKP_01806,BCNLJEOI_01452,GLONHLBP_01869,FPEIOILE_01306,PEHMELEN_01234,NFCFPMIG_01284,ELMHKFIJ_02062,GGJPJCAM_01268,JCMFBBHK_00863,FBLGIOPA_01636,IJNFIKKA_00486,NCOGIHLP_00132
glyA,glyA,Serine hydroxymethyltransferase,NKIHGLOF_01663,CAIOAPPO_01877,EGGPCNEA_00396,BOGLFJDA_01685,JLENOMMB_01551,ALHNJLOP_00809,KGLLIHJM_01988,OJAJHHAH_00993,OCGAAEPO_01815,GLNDJCAF_00711,ODFLGDBH_02042,APOOJODC_01149,FONPKMKP_01214,OKOELMAF_00878,PEGMINDJ_01708,BCHKDIOD_02108,LPFDPCGO_01475,BPKFELMP_00916,OEDMFFKP_01933,BCNLJEOI_01964,GLONHLBP_00097,FPEIOILE_01951,PEHMELEN_01739,NFCFPMIG_01519,ELMHKFIJ_00767,GGJPJCAM_02104,JCMFBBHK_01306,FBLGIOPA_02086,IJNFIKKA_00434,NCOGIHLP_01809
cinA,cinA,Putative competence-damage inducible protein,NKIHGLOF_01455,CAIOAPPO_01662,EGGPCNEA_01313,BOGLFJDA_01516,JLENOMMB_01350,ALHNJLOP_01529,KGLLIHJM_01549,OJAJHHAH_01671,OCGAAEPO_01087,GLNDJCAF_01474,ODFLGDBH_01376,APOOJODC_01501,FONPKMKP_01126,OKOELMAF_01201,PEGMINDJ_01235,BCHKDIOD_01430,LPFDPCGO_00846,BPKFELMP_00291,OEDMFFKP_01520,BCNLJEOI_01375,GLONHLBP_01364,FPEIOILE_01244,PEHMELEN_01797,NFCFPMIG_01390,ELMHKFIJ_01890,GGJPJCAM_01695,JCMFBBHK_01169,FBLGIOPA_01433,IJNFIKKA_01662,NCOGIHLP_00028
group_119,,hypothetical protein,NKIHGLOF_01423,CAIOAPPO_01631,EGGPCNEA_01282,BOGLFJDA_01547,JLENOMMB_01319,ALHNJLOP_01498,KGLLIHJM_01518,OJAJHHAH_01639,OCGAAEPO_01056,GLNDJCAF_01505,ODFLGDBH_01408,APOOJODC_01469,FONPKMKP_01157,OKOELMAF_01231,PEGMINDJ_01267,BCHKDIOD_01399,LPFDPCGO_00816,BPKFELMP_00259,OEDMFFKP_01551,BCNLJEOI_01344,GLONHLBP_01333,FPEIOILE_01213,PEHMELEN_01828,NFCFPMIG_01359,ELMHKFIJ_01852,GGJPJCAM_01663,JCMFBBHK_01137,FBLGIOPA_01402,IJNFIKKA_01693,NCOGIHLP_00059
tyrS,tyrS,Tyrosine--tRNA ligase,NKIHGLOF_00096,CAIOAPPO_01790,EGGPCNEA_01883,BOGLFJDA_00825,JLENOMMB_00976,ALHNJLOP_01674,KGLLIHJM_00712,OJAJHHAH_01909,OCGAAEPO_00575,GLNDJCAF_01162,ODFLGDBH_01484,APOOJODC_00933,FONPKMKP_00232,OKOELMAF_00547,PEGMINDJ_00812,BCHKDIOD_00497,LPFDPCGO_01792,BPKFELMP_01226,OEDMFFKP_01240,BCNLJEOI_01137,GLONHLBP_01670,FPEIOILE_00847,PEHMELEN_01361,NFCFPMIG_01739,ELMHKFIJ_01615,GGJPJCAM_01959,JCMFBBHK_01396,FBLGIOPA_01565,IJNFIKKA_00617,NCOGIHLP_00250
ftsZ,ftsZ,Cell division protein FtsZ,NKIHGLOF_01794,CAIOAPPO_02032,EGGPCNEA_01094,BOGLFJDA_01319,JLENOMMB_00261,ALHNJLOP_01290,KGLLIHJM_00064,OJAJHHAH_02118,OCGAAEPO_01354,GLNDJCAF_00939,ODFLGDBH_00064,APOOJODC_01948,FONPKMKP_01832,OKOELMAF_00826,PEGMINDJ_01742,BCHKDIOD_00979,LPFDPCGO_01547,BPKFELMP_01573,OEDMFFKP_00785,BCNLJEOI_01259,GLONHLBP_00777,FPEIOILE_00364,PEHMELEN_00280,NFCFPMIG_00301,ELMHKFIJ_00119,GGJPJCAM_02142,JCMFBBHK_01903,FBLGIOPA_01185,IJNFIKKA_01467,NCOGIHLP_01644
murA1_2,murA1_2,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,NKIHGLOF_01702,CAIOAPPO_01846,EGGPCNEA_00357,BOGLFJDA_01606,JLENOMMB_01592,ALHNJLOP_00846,KGLLIHJM_01934,OJAJHHAH_00953,OCGAAEPO_01854,GLNDJCAF_01921,ODFLGDBH_01998,APOOJODC_01188,FONPKMKP_01253,OKOELMAF_01893,PEGMINDJ_01669,BCHKDIOD_01982,LPFDPCGO_01514,BPKFELMP_00955,OEDMFFKP_01731,BCNLJEOI_01888,GLONHLBP_00056,FPEIOILE_01911,PEHMELEN_01698,NFCFPMIG_01961,ELMHKFIJ_00728,GGJPJCAM_02065,JCMFBBHK_01345,FBLGIOPA_01506,IJNFIKKA_00395,NCOGIHLP_01848
group_118,,Carboxynorspermidine synthase,NKIHGLOF_01115,CAIOAPPO_00883,EGGPCNEA_01520,BOGLFJDA_01075,JLENOMMB_01132,ALHNJLOP_01842,KGLLIHJM_01232,OJAJHHAH_01220,OCGAAEPO_01395,GLNDJCAF_00645,ODFLGDBH_01280,APOOJODC_01363,FONPKMKP_01783,OKOELMAF_00966,PEGMINDJ_00656,BCHKDIOD_01345,LPFDPCGO_00637,BPKFELMP_00598,OEDMFFKP_00595,BCNLJEOI_01082,GLONHLBP_00186,FPEIOILE_01159,PEHMELEN_01597,NFCFPMIG_00555,ELMHKFIJ_00865,GGJPJCAM_01430,JCMFBBHK_00969,FBLGIOPA_01066,IJNFIKKA_00251,NCOGIHLP_01084
group_117,,Putative zinc metalloprotease,NKIHGLOF_00837,CAIOAPPO_01228,EGGPCNEA_01773,BOGLFJDA_00330,JLENOMMB_00494,ALHNJLOP_01137,KGLLIHJM_00426,OJAJHHAH_00621,OCGAAEPO_01504,GLNDJCAF_00534,ODFLGDBH_00687,APOOJODC_00737,FONPKMKP_00533,OKOELMAF_00150,PEGMINDJ_00348,BCHKDIOD_00276,LPFDPCGO_00046,BPKFELMP_01381,OEDMFFKP_00260,BCNLJEOI_00068,GLONHLBP_01467,FPEIOILE_00251,PEHMELEN_00623,NFCFPMIG_00646,ELMHKFIJ_00458,GGJPJCAM_00469,JCMFBBHK_00385,FBLGIOPA_00667,IJNFIKKA_01278,NCOGIHLP_00722
yknZ,yknZ,putative ABC transporter permease YknZ,NKIHGLOF_00644,CAIOAPPO_02075,EGGPCNEA_01622,BOGLFJDA_00219,JLENOMMB_01506,ALHNJLOP_00256,KGLLIHJM_00774,OJAJHHAH_01463,OCGAAEPO_01971,GLNDJCAF_01564,ODFLGDBH_00754,APOOJODC_01584,FONPKMKP_01045,OKOELMAF_01368,PEGMINDJ_01346,BCHKDIOD_00030,LPFDPCGO_01706,BPKFELMP_00683,OEDMFFKP_00195,BCNLJEOI_00290,GLONHLBP_00662,FPEIOILE_01390,PEHMELEN_00952,NFCFPMIG_00032,ELMHKFIJ_02165,GGJPJCAM_01778,JCMFBBHK_01550,FBLGIOPA_00601,IJNFIKKA_02021,NCOGIHLP_01991
group_115,,hypothetical protein,NKIHGLOF_01162,CAIOAPPO_00934,EGGPCNEA_01023,BOGLFJDA_01027,JLENOMMB_01183,ALHNJLOP_00053,KGLLIHJM_02018,OJAJHHAH_01270,OCGAAEPO_01446,GLNDJCAF_00696,ODFLGDBH_01229,APOOJODC_01409,FONPKMKP_01915,OKOELMAF_01635,PEGMINDJ_00705,BCHKDIOD_02147,LPFDPCGO_01946,BPKFELMP_02289,OEDMFFKP_01918,BCNLJEOI_02002,GLONHLBP_00233,FPEIOILE_01474,PEHMELEN_01649,NFCFPMIG_00601,ELMHKFIJ_00917,GGJPJCAM_01480,JCMFBBHK_01943,FBLGIOPA_01113,IJNFIKKA_01002,NCOGIHLP_01134
proA,proA,Gamma-glutamyl phosphate reductase,NKIHGLOF_01103,CAIOAPPO_00871,EGGPCNEA_01508,BOGLFJDA_01087,JLENOMMB_01120,ALHNJLOP_01830,KGLLIHJM_01244,OJAJHHAH_01208,OCGAAEPO_01383,GLNDJCAF_00633,ODFLGDBH_01292,APOOJODC_01351,FONPKMKP_01771,OKOELMAF_00954,PEGMINDJ_00644,BCHKDIOD_01333,LPFDPCGO_00625,BPKFELMP_00586,OEDMFFKP_00607,BCNLJEOI_01070,GLONHLBP_00174,FPEIOILE_01147,PEHMELEN_01585,NFCFPMIG_00543,ELMHKFIJ_00853,GGJPJCAM_01418,JCMFBBHK_00957,FBLGIOPA_01054,IJNFIKKA_00263,NCOGIHLP_01072
pucK,pucK,Uric acid permease PucK,NKIHGLOF_00952,CAIOAPPO_00420,EGGPCNEA_00925,BOGLFJDA_00949,JLENOMMB_00882,ALHNJLOP_01407,KGLLIHJM_01015,OJAJHHAH_00726,OCGAAEPO_00648,GLNDJCAF_01068,ODFLGDBH_01172,APOOJODC_01002,FONPKMKP_00666,OKOELMAF_00073,PEGMINDJ_00454,BCHKDIOD_01207,LPFDPCGO_00705,BPKFELMP_00092,OEDMFFKP_00904,BCNLJEOI_00769,GLONHLBP_00953,FPEIOILE_00949,PEHMELEN_00456,NFCFPMIG_01034,ELMHKFIJ_01787,GGJPJCAM_01086,JCMFBBHK_00491,FBLGIOPA_00932,IJNFIKKA_01881,NCOGIHLP_01338
pyrC,pyrC,Dihydroorotase,NKIHGLOF_01195,CAIOAPPO_01081,EGGPCNEA_00294,BOGLFJDA_02135,JLENOMMB_01603,ALHNJLOP_00957,KGLLIHJM_00378,OJAJHHAH_00295,OCGAAEPO_00094,GLNDJCAF_01335,ODFLGDBH_00984,APOOJODC_01975,FONPKMKP_00982,OKOELMAF_01447,PEGMINDJ_01180,BCHKDIOD_01469,LPFDPCGO_01824,BPKFELMP_01052,OEDMFFKP_01844,BCNLJEOI_01536,GLONHLBP_01980,FPEIOILE_01486,PEHMELEN_02025,NFCFPMIG_00479,ELMHKFIJ_00665,GGJPJCAM_00420,JCMFBBHK_02010,FBLGIOPA_01772,IJNFIKKA_00336,NCOGIHLP_01441
group_113,,hypothetical protein,NKIHGLOF_00244,CAIOAPPO_01958,EGGPCNEA_01669,BOGLFJDA_01147,JLENOMMB_01224,ALHNJLOP_02042,KGLLIHJM_01304,OJAJHHAH_02033,OCGAAEPO_00428,GLNDJCAF_01376,ODFLGDBH_01516,APOOJODC_00783,FONPKMKP_00380,OKOELMAF_00392,PEGMINDJ_01021,BCHKDIOD_00655,LPFDPCGO_01403,BPKFELMP_00214,OEDMFFKP_01833,BCNLJEOI_01479,GLONHLBP_01842,FPEIOILE_01279,PEHMELEN_01207,NFCFPMIG_01257,ELMHKFIJ_02034,GGJPJCAM_01221,JCMFBBHK_00892,FBLGIOPA_01608,IJNFIKKA_00458,NCOGIHLP_00104
group_112,,putative AAA domain-containing protein,NKIHGLOF_01000,CAIOAPPO_00372,EGGPCNEA_00881,BOGLFJDA_01001,JLENOMMB_00830,ALHNJLOP_01355,KGLLIHJM_01067,OJAJHHAH_00774,OCGAAEPO_02054,GLNDJCAF_01016,ODFLGDBH_01120,APOOJODC_01050,FONPKMKP_00618,OKOELMAF_00021,PEGMINDJ_00502,BCHKDIOD_01259,LPFDPCGO_01059,BPKFELMP_00044,OEDMFFKP_00956,BCNLJEOI_00717,GLONHLBP_00901,FPEIOILE_00897,PEHMELEN_00404,NFCFPMIG_01086,ELMHKFIJ_01733,GGJPJCAM_01134,JCMFBBHK_00534,FBLGIOPA_00880,IJNFIKKA_01925,NCOGIHLP_02076
gabR,gabR,HTH-type transcriptional regulatory protein GabR,NKIHGLOF_00537,CAIOAPPO_00099,EGGPCNEA_00092,BOGLFJDA_00696,JLENOMMB_00040,ALHNJLOP_00607,KGLLIHJM_00282,OJAJHHAH_00099,OCGAAEPO_01199,GLNDJCAF_00162,ODFLGDBH_00284,APOOJODC_00099,FONPKMKP_00798,OKOELMAF_00722,PEGMINDJ_00122,BCHKDIOD_00829,LPFDPCGO_01194,BPKFELMP_00474,OEDMFFKP_00492,BCNLJEOI_00656,GLONHLBP_00402,FPEIOILE_00717,PEHMELEN_00040,NFCFPMIG_00929,ELMHKFIJ_01391,GGJPJCAM_00099,JCMFBBHK_00128,FBLGIOPA_00156,IJNFIKKA_00901,NCOGIHLP_00328
malX,malX,Maltose/maltodextrin-binding protein,NKIHGLOF_00104,CAIOAPPO_01798,EGGPCNEA_01891,BOGLFJDA_00817,JLENOMMB_00984,ALHNJLOP_01666,KGLLIHJM_00704,OJAJHHAH_01917,OCGAAEPO_00567,GLNDJCAF_01170,ODFLGDBH_01476,APOOJODC_00925,FONPKMKP_00240,OKOELMAF_00539,PEGMINDJ_00804,BCHKDIOD_00505,LPFDPCGO_01800,BPKFELMP_01234,OEDMFFKP_01232,BCNLJEOI_01145,GLONHLBP_01678,FPEIOILE_00839,PEHMELEN_01353,NFCFPMIG_01747,ELMHKFIJ_01623,GGJPJCAM_01951,JCMFBBHK_01404,FBLGIOPA_01573,IJNFIKKA_00609,NCOGIHLP_00242
serS,serS,Serine--tRNA ligase,NKIHGLOF_02052,CAIOAPPO_02262,EGGPCNEA_00699,BOGLFJDA_02014,JLENOMMB_02064,ALHNJLOP_00016,KGLLIHJM_01954,OJAJHHAH_02229,OCGAAEPO_02078,GLNDJCAF_02006,ODFLGDBH_02018,APOOJODC_02124,FONPKMKP_02054,OKOELMAF_01469,PEGMINDJ_02138,BCHKDIOD_01536,LPFDPCGO_01861,BPKFELMP_02107,OEDMFFKP_02057,BCNLJEOI_01869,GLONHLBP_01782,FPEIOILE_01700,PEHMELEN_02048,NFCFPMIG_01693,ELMHKFIJ_01281,GGJPJCAM_02249,JCMFBBHK_00630,FBLGIOPA_02031,IJNFIKKA_00243,NCOGIHLP_01592
mvaA,mvaA,3-hydroxy-3-methylglutaryl-coenzyme A reductase,NKIHGLOF_01956,CAIOAPPO_00322,EGGPCNEA_00833,BOGLFJDA_01258,JLENOMMB_01872,ALHNJLOP_01229,KGLLIHJM_00003,OJAJHHAH_00825,OCGAAEPO_01675,GLNDJCAF_00864,ODFLGDBH_00003,APOOJODC_01101,FONPKMKP_01861,OKOELMAF_00765,PEGMINDJ_00553,BCHKDIOD_00918,LPFDPCGO_01108,BPKFELMP_01662,OEDMFFKP_00847,BCNLJEOI_02078,GLONHLBP_00837,FPEIOILE_01757,PEHMELEN_00341,NFCFPMIG_00239,ELMHKFIJ_00049,GGJPJCAM_01185,JCMFBBHK_00586,FBLGIOPA_01123,IJNFIKKA_01577,NCOGIHLP_01482
group_111,,hypothetical protein,NKIHGLOF_01917,CAIOAPPO_00254,EGGPCNEA_00254,BOGLFJDA_01463,JLENOMMB_00773,ALHNJLOP_00753,KGLLIHJM_01186,OJAJHHAH_00254,OCGAAEPO_00207,GLNDJCAF_00306,ODFLGDBH_00426,APOOJODC_00250,FONPKMKP_01948,OKOELMAF_02026,PEGMINDJ_00944,BCHKDIOD_01119,LPFDPCGO_00546,BPKFELMP_01750,OEDMFFKP_01117,BCNLJEOI_00998,GLONHLBP_01542,FPEIOILE_01426,PEHMELEN_01426,NFCFPMIG_01206,ELMHKFIJ_00625,GGJPJCAM_00254,JCMFBBHK_01989,FBLGIOPA_00015,IJNFIKKA_01175,NCOGIHLP_01697
